name,lon,lat,injuries,fatalities,points,score
"40.741646,-74.00486",-74.00485999999999,40.741646,11,0,1,1
9th Ave and W 16th St,-74.00442,40.742283,7,0,1,1
W 17th St and 9th Ave,-74.00397,40.742863,16,0,1,1
"40.740948,-74.00536",-74.00536,40.740948,25,0,1,1
W 13th St and Hudson St,-74.005295,40.740025,6,0,1,1
Washington St and W 14th St,-74.00697,40.741627,9,0,1,1
"40.74345,-74.00354",-74.00354,40.74345,11,0,1,1
W 13th St and 9th Ave,-74.00587,40.74026,6,0,1,1
Gansevoort St and W 13th St,-74.00387000000001,40.739418,1,0,1,1
"40.73941,-74.005394",-74.005394,40.73941,5,0,1,1
W 17th St and 8th Ave,-74.00113,40.74167,18,0,1,1
W 19th St and 9th Ave,-74.00311000000001,40.744034,17,0,1,1
W 16th St and 8th Ave,-74.00156,40.74108,18,0,1,1
Washington St and W 13th St,-74.00748400000001,40.74094,11,0,1,1
8th Ave and W 15th St,-74.00202,40.740444,13,1,1,1
Little W 12th St and 9th Ave,-74.00633000000001,40.73963,3,0,1,1
Jane St and 8th Ave,-74.00417,40.738132,7,0,1,1
Horatio St and Hudson St,-74.00548999999999,40.738754,7,0,1,1
8th Ave and W 14th St,-74.00252500000001,40.739754,57,1,1,1
8th Ave and W 4th St,-74.00386,40.738396,1,0,1,1
8th Ave and Horatio St,-74.00345,40.738754,10,0,1,1
8th Ave and Greenwich Ave,-74.00279,40.739395,7,0,1,1
8th Ave and W 13th St,-74.00308,40.73908,3,0,1,1
"40.74283,-74.0077",-74.0077,40.74283,20,0,1,1
W 18th St and 8th Ave,-74.00069999999999,40.742252,10,0,1,1
Jane St and W 4th St,-74.00387600000001,40.73814,1,0,1,1
"40.74347,-74.00723",-74.00723000000001,40.74347,8,0,1,1
8th Ave and W 12th St,-74.00483,40.73755,4,0,1,1
W 17th St and 10th Ave,-74.00681,40.74406,13,0,1,1
W 20th St and 9th Ave,-74.00269,40.74462,11,0,1,1
10th Ave and W 18th St,-74.00638600000001,40.744644,15,0,1,1
Hudson St and Jane St,-74.00559,40.73814,3,1,1,1
"40.742363,-74.0087",-74.0087,40.742363,38,0,1,1
"40.741478,-74.008995",-74.008995,40.741478,12,0,1,1
10th Ave and W 19th St,-74.00596,40.74523,4,0,1,1
W 12th St and W 4th St,-74.00387000000001,40.737545,1,0,1,1
Washington St and Little W 12th St,-74.00794,40.740295,2,0,1,1
Horatio St and Greenwich St,-74.00646,40.738754,1,0,1,1
10th Ave and W 20th St,-74.00552999999999,40.745815,4,0,1,1
Greenwich Ave and W 13th St,-74.00239999999999,40.73876,12,0,1,1
10th Ave and W 21st St,-74.005104,40.746403,6,0,1,1
8th Ave and W 19th St,-74.000275,40.74284,20,0,1,1
W 22nd St and 10th Ave,-74.004654,40.747025,10,0,1,1
W 12th St and Hudson St,-74.005684,40.737553,7,0,1,1
"40.74321,-74.00861",-74.00861,40.74321,33,0,1,1
Greenwich St and Jane St,-74.00646999999999,40.73814,1,0,1,1
9th Ave and W 21st St,-74.00226600000001,40.74521,8,0,1,1
"40.74077,-74.00919",-74.00919,40.74077,8,0,1,1
Bank St and W 4th St,-74.003716,40.73684,4,0,1,1
"40.736877,-74.00553",-74.00552999999999,40.736877,2,0,1,1
Washington St and Gansevoort St,-74.00805,40.739376,3,0,1,1
"40.73661,-74.00531",-74.00530999999999,40.73661,1,0,1,1
Greenwich Ave and Jane St,-74.00203,40.73813,2,0,1,1
"40.744022,-74.00846",-74.00846,40.744022,19,0,1,1
W 12th St and Greenwich St,-74.006485,40.73755,4,0,1,1
"40.740467,-74.009415",-74.009415,40.740467,1,0,1,1
W 23rd St and 10th Ave,-74.004166,40.74769,40,0,1,1
8th Ave and W 20th St,-73.99985,40.743423,12,0,1,1
W 11th St and Bleecker St,-74.00512999999999,40.735962,3,0,1,1
"40.736534,-74.00583",-74.00583,40.736534,5,0,1,1
Horatio St and Washington St,-74.0081,40.738758,8,0,1,1
"40.745827,-74.00181",-74.00181000000001,40.745827,7,0,1,1
"40.744705,-74.00835",-74.00834999999999,40.744705,5,0,1,1
Greenwich Ave and W 12th St,-74.00176999999999,40.737675,2,0,1,1
"40.735302,-74.00493",-74.00493,40.735302,4,0,1,1
Bank St and Waverly Pl,-74.00214,40.737064,1,0,1,1
7th Ave and W 19th St,-73.99744,40.741642,20,1,1,1
Washington St and Jane St,-74.008156,40.73814,2,0,1,1
"40.745415,-74.0082",-74.0082,40.745415,25,0,1,1
"40.74401,-73.99942",-73.99942,40.74401,19,0,1,1
Charles St and Bleecker St,-74.004745,40.73466,3,0,1,1
"40.748356,-74.00369",-74.00369000000001,40.748356,7,1,1,1
Hudson St and W 11th St,-74.00596,40.735844,3,0,1,1
W 18th St and 7th Ave,-73.99786,40.741055,38,0,1,1
Perry St and W 4th St,-74.00333999999999,40.73554,1,0,1,1
Greenwich St and Bank St,-74.00662,40.73643,1,0,1,1
W 17th St and 7th Ave,-73.99827999999999,40.74047,16,0,1,1
Bank St and Greenwich Ave,-74.001465,40.737167,1,0,1,1
W 16th St and 7th Ave,-73.99871,40.73988,12,0,1,1
W 10th St and Bleecker St,-74.00456,40.73401,3,0,1,1
"40.73938,-74.00994",-74.00994,40.73938,5,0,1,1
9th Ave and W 23rd St,-74.00133,40.74649,29,0,1,1
7th Ave and W 15th St,-73.99918,40.739243,12,0,1,1
"40.74611,-74.00809",-74.00809,40.74611,5,1,1,1
W 12th St and Washington St,-74.00821000000001,40.737553,8,0,1,1
W 20th St and 7th Ave,-73.99701,40.74223,17,0,1,1
"40.736412,-74.001945",-74.00194500000001,40.736412,1,0,1,1
